date,open,high,low,close,volume
2022-01-03,382.58,400.36,378.68,399.93,104686047
2022-01-04,396.52,402.67,374.35,383.2,100248258
2022-01-05,382.22,390.11,360.34,362.71,80119797
2022-01-06,359,362.67,340.17,354.9,90336474
2022-01-07,360.12,360.31,336.67,342.32,84164748
2022-01-10,333.33,353.03,326.67,352.71,91814877
2022-01-11,351.22,358.62,346.27,354.8,64779924
2022-01-12,359.62,371.61,357.53,368.74,83739015
2022-01-13,369.69,371.87,342.18,343.85,97209792
2022-01-14,339.96,350.67,337.79,349.87,72924411
2022-01-18,342.2,356.93,338.69,343.5,66475236
2022-01-19,347.24,351.56,331.67,331.88,74610645
2022-01-20,336.58,347.22,331.33,332.09,70488744
2022-01-21,332.11,334.85,313.5,314.63,103416027
2022-01-24,301.59,311.17,283.82,310,152375142
2022-01-25,304.73,317.09,301.07,306.13,86595906
2022-01-26,317.48,329.23,302,312.47,104867283
2022-01-27,311.12,311.8,276.33,276.37,147109569
2022-01-28,277.19,285.83,264,282.12,134788950
2022-01-31,290.9,312.66,287.35,312.24,104436096
2022-02-01,311.74,314.57,301.67,310.42,73138338
2022-02-02,309.39,310.5,296.47,301.89,66793035
2022-02-03,294,312.33,293.51,297.05,78855558
2022-02-04,299.07,312.17,293.72,307.77,73625466
2022-02-07,307.93,315.92,300.9,302.45,60994464
2022-02-08,301.84,308.76,298.27,307.33,50729013
2022-02-09,311.67,315.42,306.67,310.67,52259544
2022-02-10,302.79,314.6,298.9,301.52,66126831
2022-02-11,303.21,305.32,283.57,286.67,79645869
2022-02-14,287.19,299.63,284.38,291.92,67756416
2022-02-15,300,307.67,297.79,307.48,57649542
2022-02-16,304.68,308.81,300.4,307.8,51294396
2022-02-17,304.42,306.17,291.37,292.12,55178418
2022-02-18,295.33,295.62,279.2,285.66,68501841
2022-02-22,278.04,285.58,267.03,273.84,82163622
2022-02-23,276.81,278.43,253.52,254.68,95257008
2022-02-24,233.46,267.49,233.33,266.92,135322275
2022-02-25,269.74,273.17,260.8,269.96,76067763
2022-02-28,271.67,292.29,271.57,290.14,99006867
2022-03-01,289.89,296.63,284.59,288.12,74766861
2022-03-02,290.71,295.49,281.42,293.3,74643438
2022-03-03,292.92,295.48,277.53,279.76,61623507
2022-03-04,283.03,285.22,275.05,279.43,67179861
2022-03-07,285.43,288.71,268.19,268.19,72494172
2022-03-08,265.18,283.33,260.72,274.8,80399106
2022-03-09,279.83,286.85,277.34,286.32,59183979
2022-03-10,283.82,284.82,270.12,279.43,58648644
2022-03-11,280.07,281.27,264.59,265.12,67037166
2022-03-14,260.2,266.9,252.01,255.46,71152263
2022-03-15,258.42,268.52,252.19,267.3,66841143
2022-03-16,269.67,280.67,267.42,280.08,84028821
2022-03-17,277,291.67,275.24,290.53,66582972
2022-03-18,291.5,302.62,289.13,301.8,100329477
2022-03-21,304.99,314.28,302.36,307.05,79922874
2022-03-22,310,332.62,307.25,331.33,104646834
2022-03-23,326.65,346.9,325.47,333.04,120676149
2022-03-24,336.58,341.5,329.6,337.97,68920878
2022-03-25,336,340.6,332.44,336.88,61490679
2022-03-28,355.03,365.96,351.2,363.95,102506079
2022-03-29,369.33,371.59,357.7,366.52,73614819
2022-03-30,363.72,371.32,361.33,364.66,59865006
2022-03-31,364.86,367.71,358.88,359.2,48992757
2022-04-01,360.38,364.92,355.55,361.53,54263223
2022-04-04,363.13,383.3,357.51,381.82,82177701
2022-04-05,378.77,384.29,362.43,363.75,78576561
2022-04-06,357.82,359.67,342.57,348.59,89348535
2022-04-07,350.8,358.86,340.51,352.42,79447059
2022-04-08,347.74,349.48,340.81,341.83,55013688
